NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0910 Entries & Exits,0910 interchanges
6913,54530,67693,168048,290271,54530,67693,168048,290271,580542,0
1395,65649,78989,122295,266933,65649,78989,122295,266933,533866,0
1179,22109,32785,41869,96763,22109,32785,41869,96763,193526,0
4409,775,448,0,1223,775,448,0,1223,2446,0
5324,15481,19657,41158,76296,15481,19657,41158,76296,152592,0
2946,28595,104782,17339,150716,28595,104782,17339,150716,301432,0
5689,56479,42308,93297,192084,56479,42308,93297,192084,384168,0
4124,457,375,0,832,457,375,0,832,1664,0
3811,56788,33913,37869,128570,56788,33913,37869,128570,257140,0
2536,10442,685,762,11889,10442,685,762,11889,23778,0
3812,91261,121001,98746,311008,91261,121001,98746,311008,622016,0
4412,10866,7179,0,18045,10866,7179,0,18045,36090,0
3680,12422,18971,8110,39503,12422,18971,8110,39503,79006,0
1439,20301,23662,146970,190933,20301,23662,146970,190933,381866,0
3562,990,12437,3257,16684,990,12437,3257,16684,33368,0
3238,21704,34855,11633,68192,21704,34855,11633,68192,136384,0
5682,78431,93739,47669,219839,78431,93739,47669,219839,439678,0
3504,12650,78695,21130,112475,12650,78695,21130,112475,224950,0
7022,963918,1839019,1027636,3830573,963918,1839019,1027636,3830573,7661146,518012
6962,14661,21100,40647,76408,14661,21100,40647,76408,152816,0
9768,113760,87882,126055,327697,113760,87882,126055,327697,655394,6697
